Sample,X,Y,Z
367,-0.062,-1.016,-0.984
368,-0.125,-0.918,-0.910
369,-0.004,-1.023,-0.773
370,0.145,-1.094,-0.559
371,0.090,-0.918,-0.418
372,0.059,-0.977,-0.387
373,-0.047,-0.875,-0.391
374,-0.027,-0.965,-0.422
375,-0.004,-1.035,-0.352
376,0.035,-0.906,-0.160
377,-0.078,-0.840,-0.145
378,-0.078,-0.836,-0.117
379,-0.055,-0.922,-0.129
380,-0.016,-0.965,-0.199
381,-0.121,-0.906,-0.305
382,-0.043,-0.910,-0.336
383,-0.117,-0.875,-0.453
384,-0.066,-0.926,-0.527
385,-0.012,-0.902,-0.531
386,-0.008,-1.102,-0.703
387,-0.047,-1.000,-0.723
388,0.027,-0.883,-0.715
389,0.020,-1.008,-0.773
390,0.098,-1.008,-0.781
391,0.070,-1.059,-0.797
392,-0.035,-1.020,-0.750
393,-0.051,-0.836,-0.660
394,0.051,-0.918,-0.496
395,0.129,-0.879,-0.367
396,-0.008,-0.945,-0.566
397,0.004,-1.066,-0.477
398,-0.004,-0.930,-0.488
399,-0.023,-1.066,-0.316
400,0.078,-0.770,0.031
401,0.043,-0.809,-0.066
402,-0.086,-0.891,-0.352
403,-0.027,-1.090,-0.359
404,-0.203,-1.070,-0.609
405,-0.215,-0.797,-0.484
406,0.062,-0.703,-0.098
407,0.207,-0.910,-0.086
408,0.055,-1.055,-0.492
409,-0.285,-1.180,-1.000
410,-0.336,-0.934,-0.879
411,-0.066,-0.785,-0.426
412,0.359,-0.973,0.008
413,0.367,-1.078,0.027
414,-0.184,-1.098,-0.527
415,-0.355,-0.852,-0.461
416,0.027,-0.816,0.129
417,0.465,-1.102,0.586
418,0.297,-1.055,0.500
419,-0.227,-0.824,0.062
420,-0.355,-0.629,0.047
421,0.156,-0.910,0.449
422,0.430,-1.191,0.598
423,-0.035,-0.941,0.246
424,-0.426,-0.609,-0.035
425,0.012,-0.809,0.168
426,0.391,-1.277,0.215
427,-0.016,-1.160,-0.168
428,-0.371,-0.672,-0.230
429,-0.090,-0.762,-0.090
430,0.223,-1.160,-0.125
431,0.086,-1.199,-0.285
432,-0.219,-0.863,-0.352
433,-0.141,-0.719,-0.242
434,0.152,-1.031,-0.133
435,0.113,-1.207,-0.180
436,-0.113,-0.922,-0.184
437,-0.082,-0.645,0.082
438,0.078,-0.875,0.133
439,0.145,-1.156,0.035
440,0.039,-0.992,0.078
441,-0.066,-0.773,0.160
442,0.039,-0.902,0.180
443,0.180,-1.117,0.230
444,0.098,-0.969,0.234
445,-0.062,-0.766,0.141
446,-0.094,-0.863,-0.023
447,0.008,-1.055,-0.074
448,0.066,-1.039,-0.031
449,-0.008,-0.891,-0.023
450,-0.082,-0.879,-0.074
451,-0.023,-0.961,-0.090
452,0.062,-0.988,-0.059
453,0.020,-0.945,-0.121
454,-0.047,-0.977,-0.207
